,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47
10,8,39 | 0.02%,100 | 0.06%,445 | 0.26%,562 | 0.32%,607 | 0.35%,618 | 0.36%,494 | 0.28%,414 | 0.24%,349 | 0.2%,270 | 0.16%,151 | 0.09%,146 | 0.08%,49 | 0.03%,31 | 0.02%,13 | 0.01%,9 | 0.01%,1 | 0.0%,0 | 0.0%,1 | 0.0%,2 | 0.0%,0 | 0.0%,0 | 0.0%,0 | 0.0%,0 | 0.0%,0 | 0.0%,0 | 0.0%,0 | 0.0%,0 | 0.0%,0 | 0.0%,0 | 0.0%,0 | 0.0%,0 | 0.0%,0 | 0.0%,0 | 0.0%,0 | 0.0%,0 | 0.0%,0 | 0.0%,0 | 0.0%,0 | 0.0%,0 | 0.0%,0 | 0.0%,0 | 0.0%,1 | 0.0%,0 | 0.0%,0 | 0.0%,5 | 0.0%,
11,9,25 | 0.01%,74 | 0.04%,304 | 0.17%,391 | 0.22%,439 | 0.25%,434 | 0.25%,392 | 0.23%,331 | 0.19%,279 | 0.16%,208 | 0.12%,178 | 0.1%,122 | 0.07%,65 | 0.04%,32 | 0.02%,19 | 0.01%,17 | 0.01%,7 | 0.0%,3 | 0.0%,3 | 0.0%,0 | 0.0%,1 | 0.0%,0 | 0.0%,0 | 0.0%,0 | 0.0%,0 | 0.0%,0 | 0.0%,0 | 0.0%,0 | 0.0%,0 | 0.0%,0 | 0.0%,0 | 0.0%,0 | 0.0%,0 | 0.0%,0 | 0.0%,0 | 0.0%,0 | 0.0%,0 | 0.0%,0 | 0.0%,0 | 0.0%,0 | 0.0%,0 | 0.0%,0 | 0.0%,0 | 0.0%,0 | 0.0%,0 | 0.0%,9 | 0.01%,
12,10,23 | 0.01%,49 | 0.03%,258 | 0.15%,315 | 0.18%,334 | 0.19%,341 | 0.2%,346 | 0.2%,342 | 0.2%,281 | 0.16%,236 | 0.14%,152 | 0.09%,112 | 0.06%,72 | 0.04%,26 | 0.01%,14 | 0.01%,16 | 0.01%,13 | 0.01%,5 | 0.0%,6 | 0.0%,4 | 0.0%,3 | 0.0%,0 | 0.0%,0 | 0.0%,0 | 0.0%,0 | 0.0%,0 | 0.0%,0 | 0.0%,0 | 0.0%,0 | 0.0%,0 | 0.0%,0 | 0.0%,0 | 0.0%,0 | 0.0%,0 | 0.0%,0 | 0.0%,0 | 0.0%,0 | 0.0%,0 | 0.0%,0 | 0.0%,0 | 0.0%,0 | 0.0%,0 | 0.0%,1 | 0.0%,0 | 0.0%,0 | 0.0%,20 | 0.01%,
13,11,16 | 0.01%,50 | 0.03%,182 | 0.1%,294 | 0.17%,269 | 0.15%,277 | 0.16%,270 | 0.16%,272 | 0.16%,208 | 0.12%,192 | 0.11%,137 | 0.08%,93 | 0.05%,57 | 0.03%,38 | 0.02%,20 | 0.01%,28 | 0.02%,15 | 0.01%,9 | 0.01%,6 | 0.0%,4 | 0.0%,0 | 0.0%,0 | 0.0%,0 | 0.0%,0 | 0.0%,0 | 0.0%,0 | 0.0%,0 | 0.0%,0 | 0.0%,0 | 0.0%,0 | 0.0%,0 | 0.0%,0 | 0.0%,0 | 0.0%,0 | 0.0%,0 | 0.0%,0 | 0.0%,0 | 0.0%,0 | 0.0%,0 | 0.0%,0 | 0.0%,0 | 0.0%,0 | 0.0%,0 | 0.0%,0 | 0.0%,0 | 0.0%,2 | 0.0%,
14,12,7 | 0.0%,33 | 0.02%,155 | 0.09%,215 | 0.12%,179 | 0.1%,196 | 0.11%,222 | 0.13%,237 | 0.14%,195 | 0.11%,136 | 0.08%,117 | 0.07%,100 | 0.06%,47 | 0.03%,34 | 0.02%,34 | 0.02%,20 | 0.01%,12 | 0.01%,5 | 0.0%,4 | 0.0%,12 | 0.01%,2 | 0.0%,0 | 0.0%,1 | 0.0%,1 | 0.0%,0 | 0.0%,0 | 0.0%,0 | 0.0%,0 | 0.0%,0 | 0.0%,0 | 0.0%,0 | 0.0%,0 | 0.0%,0 | 0.0%,0 | 0.0%,0 | 0.0%,0 | 0.0%,0 | 0.0%,0 | 0.0%,0 | 0.0%,0 | 0.0%,0 | 0.0%,0 | 0.0%,0 | 0.0%,0 | 0.0%,0 | 0.0%,1 | 0.0%,
15,13,8 | 0.0%,19 | 0.01%,142 | 0.08%,138 | 0.08%,151 | 0.09%,173 | 0.1%,176 | 0.1%,179 | 0.1%,134 | 0.08%,111 | 0.06%,99 | 0.06%,59 | 0.03%,44 | 0.03%,41 | 0.02%,31 | 0.02%,10 | 0.01%,7 | 0.0%,7 | 0.0%,2 | 0.0%,4 | 0.0%,1 | 0.0%,0 | 0.0%,1 | 0.0%,0 | 0.0%,0 | 0.0%,0 | 0.0%,1 | 0.0%,0 | 0.0%,0 | 0.0%,0 | 0.0%,0 | 0.0%,0 | 0.0%,0 | 0.0%,0 | 0.0%,0 | 0.0%,0 | 0.0%,0 | 0.0%,0 | 0.0%,0 | 0.0%,0 | 0.0%,0 | 0.0%,0 | 0.0%,0 | 0.0%,0 | 0.0%,0 | 0.0%,3 | 0.0%,
16,14,2 | 0.0%,15 | 0.01%,78 | 0.04%,91 | 0.05%,104 | 0.06%,131 | 0.08%,144 | 0.08%,129 | 0.07%,106 | 0.06%,92 | 0.05%,52 | 0.03%,48 | 0.03%,41 | 0.02%,30 | 0.02%,26 | 0.01%,16 | 0.01%,11 | 0.01%,2 | 0.0%,5 | 0.0%,3 | 0.0%,1 | 0.0%,1 | 0.0%,2 | 0.0%,1 | 0.0%,0 | 0.0%,0 | 0.0%,0 | 0.0%,0 | 0.0%,0 | 0.0%,0 | 0.0%,0 | 0.0%,0 | 0.0%,0 | 0.0%,0 | 0.0%,0 | 0.0%,0 | 0.0%,0 | 0.0%,0 | 0.0%,0 | 0.0%,0 | 0.0%,0 | 0.0%,0 | 0.0%,0 | 0.0%,0 | 0.0%,0 | 0.0%,9 | 0.01%,
17,15,2 | 0.0%,12 | 0.01%,62 | 0.04%,90 | 0.05%,84 | 0.05%,100 | 0.06%,99 | 0.06%,104 | 0.06%,67 | 0.04%,66 | 0.04%,40 | 0.02%,37 | 0.02%,33 | 0.02%,33 | 0.02%,23 | 0.01%,16 | 0.01%,4 | 0.0%,3 | 0.0%,0 | 0.0%,2 | 0.0%,1 | 0.0%,0 | 0.0%,0 | 0.0%,0 | 0.0%,0 | 0.0%,0 | 0.0%,0 | 0.0%,0 | 0.0%,0 | 0.0%,0 | 0.0%,0 | 0.0%,0 | 0.0%,0 | 0.0%,0 | 0.0%,0 | 0.0%,0 | 0.0%,0 | 0.0%,0 | 0.0%,0 | 0.0%,0 | 0.0%,0 | 0.0%,0 | 0.0%,0 | 0.0%,0 | 0.0%,0 | 0.0%,11 | 0.01%,
18,16,1 | 0.0%,15 | 0.01%,56 | 0.03%,82 | 0.05%,78 | 0.04%,50 | 0.03%,83 | 0.05%,73 | 0.04%,69 | 0.04%,41 | 0.02%,32 | 0.02%,34 | 0.02%,24 | 0.01%,10 | 0.01%,14 | 0.01%,5 | 0.0%,7 | 0.0%,5 | 0.0%,6 | 0.0%,2 | 0.0%,0 | 0.0%,2 | 0.0%,1 | 0.0%,0 | 0.0%,1 | 0.0%,0 | 0.0%,0 | 0.0%,1 | 0.0%,0 | 0.0%,0 | 0.0%,0 | 0.0%,0 | 0.0%,0 | 0.0%,0 | 0.0%,0 | 0.0%,0 | 0.0%,0 | 0.0%,0 | 0.0%,0 | 0.0%,0 | 0.0%,0 | 0.0%,0 | 0.0%,0 | 0.0%,0 | 0.0%,0 | 0.0%,2 | 0.0%,
19,17,1 | 0.0%,4 | 0.0%,32 | 0.02%,71 | 0.04%,59 | 0.03%,51 | 0.03%,55 | 0.03%,46 | 0.03%,43 | 0.02%,26 | 0.01%,36 | 0.02%,30 | 0.02%,18 | 0.01%,15 | 0.01%,12 | 0.01%,5 | 0.0%,5 | 0.0%,1 | 0.0%,6 | 0.0%,2 | 0.0%,3 | 0.0%,2 | 0.0%,2 | 0.0%,1 | 0.0%,0 | 0.0%,0 | 0.0%,0 | 0.0%,0 | 0.0%,0 | 0.0%,0 | 0.0%,0 | 0.0%,0 | 0.0%,0 | 0.0%,0 | 0.0%,0 | 0.0%,0 | 0.0%,0 | 0.0%,0 | 0.0%,0 | 0.0%,0 | 0.0%,0 | 0.0%,0 | 0.0%,0 | 0.0%,0 | 0.0%,0 | 0.0%,0 | 0.0%,
