,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37
11,9,7 | 0.0%,19 | 0.01%,36 | 0.02%,37 | 0.02%,42 | 0.02%,38 | 0.02%,31 | 0.02%,54 | 0.03%,52 | 0.03%,53 | 0.03%,41 | 0.02%,36 | 0.02%,31 | 0.02%,27 | 0.02%,18 | 0.01%,18 | 0.01%,19 | 0.01%,10 | 0.01%,11 | 0.01%,5 | 0.0%,6 | 0.0%,5 | 0.0%,5 | 0.0%,0 | 0.0%,0 | 0.0%,0 | 0.0%,0 | 0.0%,0 | 0.0%,0 | 0.0%,0 | 0.0%,1 | 0.0%,0 | 0.0%,0 | 0.0%,0 | 0.0%,0 | 0.0%,0 | 0.0%,
12,10,2 | 0.0%,10 | 0.01%,16 | 0.01%,31 | 0.02%,27 | 0.02%,28 | 0.02%,25 | 0.01%,39 | 0.02%,41 | 0.02%,33 | 0.02%,25 | 0.01%,28 | 0.02%,23 | 0.01%,15 | 0.01%,17 | 0.01%,17 | 0.01%,14 | 0.01%,11 | 0.01%,6 | 0.0%,8 | 0.0%,12 | 0.01%,1 | 0.0%,3 | 0.0%,3 | 0.0%,2 | 0.0%,0 | 0.0%,0 | 0.0%,1 | 0.0%,0 | 0.0%,0 | 0.0%,0 | 0.0%,0 | 0.0%,0 | 0.0%,0 | 0.0%,0 | 0.0%,0 | 0.0%,
13,11,1 | 0.0%,8 | 0.0%,17 | 0.01%,15 | 0.01%,13 | 0.01%,25 | 0.01%,30 | 0.02%,45 | 0.03%,40 | 0.02%,19 | 0.01%,31 | 0.02%,21 | 0.01%,30 | 0.02%,20 | 0.01%,8 | 0.0%,14 | 0.01%,10 | 0.01%,10 | 0.01%,3 | 0.0%,2 | 0.0%,2 | 0.0%,5 | 0.0%,0 | 0.0%,0 | 0.0%,0 | 0.0%,0 | 0.0%,0 | 0.0%,0 | 0.0%,0 | 0.0%,0 | 0.0%,0 | 0.0%,0 | 0.0%,0 | 0.0%,0 | 0.0%,0 | 0.0%,0 | 0.0%,
14,12,1 | 0.0%,6 | 0.0%,6 | 0.0%,7 | 0.0%,11 | 0.01%,10 | 0.01%,14 | 0.01%,29 | 0.02%,32 | 0.02%,26 | 0.01%,19 | 0.01%,12 | 0.01%,12 | 0.01%,5 | 0.0%,11 | 0.01%,4 | 0.0%,5 | 0.0%,5 | 0.0%,3 | 0.0%,4 | 0.0%,1 | 0.0%,2 | 0.0%,0 | 0.0%,1 | 0.0%,0 | 0.0%,0 | 0.0%,0 | 0.0%,0 | 0.0%,0 | 0.0%,0 | 0.0%,0 | 0.0%,0 | 0.0%,0 | 0.0%,0 | 0.0%,0 | 0.0%,0 | 0.0%,
15,13,0 | 0.0%,7 | 0.0%,6 | 0.0%,7 | 0.0%,14 | 0.01%,11 | 0.01%,5 | 0.0%,14 | 0.01%,6 | 0.0%,12 | 0.01%,14 | 0.01%,17 | 0.01%,12 | 0.01%,18 | 0.01%,10 | 0.01%,10 | 0.01%,7 | 0.0%,4 | 0.0%,3 | 0.0%,3 | 0.0%,1 | 0.0%,0 | 0.0%,1 | 0.0%,0 | 0.0%,0 | 0.0%,0 | 0.0%,0 | 0.0%,1 | 0.0%,0 | 0.0%,1 | 0.0%,0 | 0.0%,0 | 0.0%,0 | 0.0%,0 | 0.0%,0 | 0.0%,0 | 0.0%,
16,14,2 | 0.0%,5 | 0.0%,4 | 0.0%,7 | 0.0%,8 | 0.0%,9 | 0.01%,2 | 0.0%,10 | 0.01%,9 | 0.01%,7 | 0.0%,22 | 0.01%,11 | 0.01%,10 | 0.01%,9 | 0.01%,13 | 0.01%,10 | 0.01%,6 | 0.0%,6 | 0.0%,2 | 0.0%,2 | 0.0%,4 | 0.0%,0 | 0.0%,1 | 0.0%,1 | 0.0%,0 | 0.0%,0 | 0.0%,1 | 0.0%,1 | 0.0%,0 | 0.0%,0 | 0.0%,0 | 0.0%,0 | 0.0%,0 | 0.0%,0 | 0.0%,0 | 0.0%,0 | 0.0%,
17,15,1 | 0.0%,6 | 0.0%,1 | 0.0%,3 | 0.0%,5 | 0.0%,9 | 0.01%,7 | 0.0%,8 | 0.0%,7 | 0.0%,9 | 0.01%,8 | 0.0%,10 | 0.01%,13 | 0.01%,6 | 0.0%,6 | 0.0%,7 | 0.0%,3 | 0.0%,2 | 0.0%,3 | 0.0%,3 | 0.0%,2 | 0.0%,0 | 0.0%,0 | 0.0%,0 | 0.0%,0 | 0.0%,0 | 0.0%,0 | 0.0%,0 | 0.0%,0 | 0.0%,0 | 0.0%,0 | 0.0%,0 | 0.0%,0 | 0.0%,0 | 0.0%,0 | 0.0%,0 | 0.0%,
18,16,2 | 0.0%,4 | 0.0%,2 | 0.0%,5 | 0.0%,5 | 0.0%,7 | 0.0%,6 | 0.0%,6 | 0.0%,3 | 0.0%,5 | 0.0%,10 | 0.01%,2 | 0.0%,7 | 0.0%,3 | 0.0%,0 | 0.0%,2 | 0.0%,3 | 0.0%,3 | 0.0%,2 | 0.0%,1 | 0.0%,2 | 0.0%,3 | 0.0%,0 | 0.0%,0 | 0.0%,0 | 0.0%,0 | 0.0%,0 | 0.0%,0 | 0.0%,0 | 0.0%,0 | 0.0%,0 | 0.0%,0 | 0.0%,0 | 0.0%,0 | 0.0%,0 | 0.0%,0 | 0.0%,
19,17,0 | 0.0%,2 | 0.0%,2 | 0.0%,3 | 0.0%,5 | 0.0%,8 | 0.0%,5 | 0.0%,9 | 0.01%,5 | 0.0%,1 | 0.0%,6 | 0.0%,6 | 0.0%,4 | 0.0%,2 | 0.0%,2 | 0.0%,3 | 0.0%,1 | 0.0%,1 | 0.0%,0 | 0.0%,3 | 0.0%,2 | 0.0%,1 | 0.0%,0 | 0.0%,1 | 0.0%,0 | 0.0%,0 | 0.0%,0 | 0.0%,0 | 0.0%,0 | 0.0%,0 | 0.0%,0 | 0.0%,0 | 0.0%,0 | 0.0%,0 | 0.0%,0 | 0.0%,0 | 0.0%,
20,18,2 | 0.0%,3 | 0.0%,2 | 0.0%,2 | 0.0%,3 | 0.0%,7 | 0.0%,0 | 0.0%,4 | 0.0%,3 | 0.0%,5 | 0.0%,4 | 0.0%,6 | 0.0%,0 | 0.0%,3 | 0.0%,2 | 0.0%,2 | 0.0%,1 | 0.0%,0 | 0.0%,1 | 0.0%,1 | 0.0%,6 | 0.0%,3 | 0.0%,0 | 0.0%,1 | 0.0%,1 | 0.0%,0 | 0.0%,0 | 0.0%,0 | 0.0%,0 | 0.0%,0 | 0.0%,0 | 0.0%,0 | 0.0%,0 | 0.0%,0 | 0.0%,0 | 0.0%,0 | 0.0%,
