,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41
10,8,71 | 0.04%,305 | 0.18%,263 | 0.15%,193 | 0.11%,124 | 0.07%,170 | 0.1%,74 | 0.04%,39 | 0.02%,36 | 0.02%,28 | 0.02%,13 | 0.01%,16 | 0.01%,5 | 0.0%,4 | 0.0%,1 | 0.0%,1 | 0.0%,1 | 0.0%,0 | 0.0%,0 | 0.0%,0 | 0.0%,0 | 0.0%,0 | 0.0%,0 | 0.0%,0 | 0.0%,0 | 0.0%,0 | 0.0%,0 | 0.0%,0 | 0.0%,0 | 0.0%,0 | 0.0%,0 | 0.0%,0 | 0.0%,0 | 0.0%,0 | 0.0%,0 | 0.0%,0 | 0.0%,0 | 0.0%,0 | 0.0%,0 | 0.0%,0 | 0.0%,
11,9,49 | 0.03%,233 | 0.13%,166 | 0.1%,132 | 0.08%,123 | 0.07%,90 | 0.05%,58 | 0.03%,33 | 0.02%,36 | 0.02%,19 | 0.01%,12 | 0.01%,12 | 0.01%,7 | 0.0%,5 | 0.0%,4 | 0.0%,0 | 0.0%,0 | 0.0%,0 | 0.0%,0 | 0.0%,0 | 0.0%,0 | 0.0%,0 | 0.0%,0 | 0.0%,0 | 0.0%,0 | 0.0%,0 | 0.0%,0 | 0.0%,0 | 0.0%,0 | 0.0%,0 | 0.0%,0 | 0.0%,0 | 0.0%,0 | 0.0%,0 | 0.0%,0 | 0.0%,0 | 0.0%,0 | 0.0%,0 | 0.0%,0 | 0.0%,0 | 0.0%,
12,10,28 | 0.02%,134 | 0.08%,127 | 0.07%,143 | 0.08%,93 | 0.05%,70 | 0.04%,37 | 0.02%,42 | 0.02%,47 | 0.03%,33 | 0.02%,24 | 0.01%,21 | 0.01%,12 | 0.01%,9 | 0.01%,1 | 0.0%,0 | 0.0%,0 | 0.0%,0 | 0.0%,0 | 0.0%,0 | 0.0%,0 | 0.0%,0 | 0.0%,0 | 0.0%,0 | 0.0%,0 | 0.0%,0 | 0.0%,0 | 0.0%,0 | 0.0%,0 | 0.0%,0 | 0.0%,0 | 0.0%,0 | 0.0%,0 | 0.0%,0 | 0.0%,0 | 0.0%,0 | 0.0%,0 | 0.0%,0 | 0.0%,0 | 0.0%,0 | 0.0%,
13,11,17 | 0.01%,140 | 0.08%,109 | 0.06%,74 | 0.04%,88 | 0.05%,85 | 0.05%,111 | 0.06%,78 | 0.04%,90 | 0.05%,25 | 0.01%,15 | 0.01%,10 | 0.01%,10 | 0.01%,5 | 0.0%,2 | 0.0%,0 | 0.0%,0 | 0.0%,1 | 0.0%,0 | 0.0%,0 | 0.0%,0 | 0.0%,0 | 0.0%,0 | 0.0%,0 | 0.0%,0 | 0.0%,0 | 0.0%,0 | 0.0%,0 | 0.0%,0 | 0.0%,0 | 0.0%,0 | 0.0%,0 | 0.0%,0 | 0.0%,0 | 0.0%,0 | 0.0%,0 | 0.0%,0 | 0.0%,0 | 0.0%,0 | 0.0%,0 | 0.0%,
14,12,14 | 0.01%,77 | 0.04%,82 | 0.05%,83 | 0.05%,52 | 0.03%,56 | 0.03%,51 | 0.03%,55 | 0.03%,60 | 0.03%,28 | 0.02%,17 | 0.01%,7 | 0.0%,4 | 0.0%,7 | 0.0%,0 | 0.0%,2 | 0.0%,0 | 0.0%,1 | 0.0%,0 | 0.0%,0 | 0.0%,0 | 0.0%,0 | 0.0%,0 | 0.0%,0 | 0.0%,0 | 0.0%,0 | 0.0%,0 | 0.0%,0 | 0.0%,0 | 0.0%,0 | 0.0%,0 | 0.0%,0 | 0.0%,0 | 0.0%,0 | 0.0%,0 | 0.0%,0 | 0.0%,0 | 0.0%,0 | 0.0%,0 | 0.0%,0 | 0.0%,
15,13,9 | 0.01%,52 | 0.03%,122 | 0.07%,43 | 0.02%,43 | 0.02%,53 | 0.03%,50 | 0.03%,36 | 0.02%,24 | 0.01%,19 | 0.01%,18 | 0.01%,15 | 0.01%,12 | 0.01%,7 | 0.0%,1 | 0.0%,2 | 0.0%,2 | 0.0%,0 | 0.0%,0 | 0.0%,0 | 0.0%,0 | 0.0%,0 | 0.0%,0 | 0.0%,0 | 0.0%,0 | 0.0%,0 | 0.0%,0 | 0.0%,0 | 0.0%,0 | 0.0%,0 | 0.0%,0 | 0.0%,0 | 0.0%,0 | 0.0%,0 | 0.0%,0 | 0.0%,0 | 0.0%,0 | 0.0%,0 | 0.0%,0 | 0.0%,0 | 0.0%,
16,14,2 | 0.0%,30 | 0.02%,35 | 0.02%,44 | 0.03%,35 | 0.02%,42 | 0.02%,55 | 0.03%,32 | 0.02%,37 | 0.02%,13 | 0.01%,31 | 0.02%,5 | 0.0%,3 | 0.0%,2 | 0.0%,2 | 0.0%,5 | 0.0%,1 | 0.0%,0 | 0.0%,0 | 0.0%,0 | 0.0%,0 | 0.0%,0 | 0.0%,0 | 0.0%,0 | 0.0%,0 | 0.0%,0 | 0.0%,0 | 0.0%,0 | 0.0%,0 | 0.0%,0 | 0.0%,0 | 0.0%,0 | 0.0%,0 | 0.0%,0 | 0.0%,0 | 0.0%,0 | 0.0%,0 | 0.0%,0 | 0.0%,0 | 0.0%,0 | 0.0%,
17,15,2 | 0.0%,22 | 0.01%,13 | 0.01%,29 | 0.02%,29 | 0.02%,33 | 0.02%,75 | 0.04%,20 | 0.01%,21 | 0.01%,20 | 0.01%,11 | 0.01%,11 | 0.01%,7 | 0.0%,2 | 0.0%,5 | 0.0%,7 | 0.0%,2 | 0.0%,1 | 0.0%,0 | 0.0%,2 | 0.0%,0 | 0.0%,0 | 0.0%,0 | 0.0%,0 | 0.0%,0 | 0.0%,0 | 0.0%,0 | 0.0%,0 | 0.0%,0 | 0.0%,0 | 0.0%,0 | 0.0%,0 | 0.0%,0 | 0.0%,0 | 0.0%,0 | 0.0%,0 | 0.0%,0 | 0.0%,0 | 0.0%,0 | 0.0%,0 | 0.0%,
18,16,3 | 0.0%,11 | 0.01%,33 | 0.02%,30 | 0.02%,18 | 0.01%,10 | 0.01%,14 | 0.01%,10 | 0.01%,14 | 0.01%,7 | 0.0%,10 | 0.01%,7 | 0.0%,33 | 0.02%,16 | 0.01%,2 | 0.0%,7 | 0.0%,1 | 0.0%,0 | 0.0%,1 | 0.0%,1 | 0.0%,0 | 0.0%,1 | 0.0%,0 | 0.0%,0 | 0.0%,0 | 0.0%,0 | 0.0%,0 | 0.0%,0 | 0.0%,0 | 0.0%,0 | 0.0%,0 | 0.0%,0 | 0.0%,0 | 0.0%,0 | 0.0%,0 | 0.0%,0 | 0.0%,0 | 0.0%,0 | 0.0%,0 | 0.0%,0 | 0.0%,
19,17,1 | 0.0%,18 | 0.01%,11 | 0.01%,12 | 0.01%,8 | 0.0%,7 | 0.0%,6 | 0.0%,6 | 0.0%,10 | 0.01%,13 | 0.01%,14 | 0.01%,13 | 0.01%,15 | 0.01%,11 | 0.01%,4 | 0.0%,1 | 0.0%,3 | 0.0%,0 | 0.0%,1 | 0.0%,0 | 0.0%,0 | 0.0%,0 | 0.0%,0 | 0.0%,0 | 0.0%,0 | 0.0%,0 | 0.0%,0 | 0.0%,0 | 0.0%,0 | 0.0%,0 | 0.0%,0 | 0.0%,0 | 0.0%,0 | 0.0%,0 | 0.0%,0 | 0.0%,0 | 0.0%,0 | 0.0%,0 | 0.0%,0 | 0.0%,0 | 0.0%,
