,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47
10,8,420 | 0.24%,361 | 0.21%,240 | 0.14%,68 | 0.04%,59 | 0.03%,38 | 0.02%,24 | 0.01%,23 | 0.01%,21 | 0.01%,13 | 0.01%,10 | 0.01%,11 | 0.01%,9 | 0.01%,5 | 0.0%,6 | 0.0%,2 | 0.0%,2 | 0.0%,8 | 0.0%,1 | 0.0%,2 | 0.0%,0 | 0.0%,0 | 0.0%,15 | 0.01%,1 | 0.0%,1 | 0.0%,2 | 0.0%,0 | 0.0%,0 | 0.0%,0 | 0.0%,0 | 0.0%,0 | 0.0%,0 | 0.0%,1 | 0.0%,0 | 0.0%,0 | 0.0%,0 | 0.0%,0 | 0.0%,0 | 0.0%,0 | 0.0%,0 | 0.0%,0 | 0.0%,0 | 0.0%,0 | 0.0%,0 | 0.0%,0 | 0.0%,1 | 0.0%,
11,9,328 | 0.19%,224 | 0.13%,128 | 0.07%,86 | 0.05%,42 | 0.02%,25 | 0.01%,42 | 0.02%,21 | 0.01%,16 | 0.01%,7 | 0.0%,5 | 0.0%,4 | 0.0%,4 | 0.0%,8 | 0.0%,5 | 0.0%,7 | 0.0%,5 | 0.0%,7 | 0.0%,3 | 0.0%,0 | 0.0%,4 | 0.0%,1 | 0.0%,1 | 0.0%,0 | 0.0%,0 | 0.0%,0 | 0.0%,1 | 0.0%,2 | 0.0%,1 | 0.0%,0 | 0.0%,0 | 0.0%,0 | 0.0%,1 | 0.0%,1 | 0.0%,0 | 0.0%,0 | 0.0%,0 | 0.0%,0 | 0.0%,0 | 0.0%,0 | 0.0%,0 | 0.0%,0 | 0.0%,0 | 0.0%,0 | 0.0%,0 | 0.0%,0 | 0.0%,
12,10,219 | 0.13%,181 | 0.1%,83 | 0.05%,63 | 0.04%,49 | 0.03%,47 | 0.03%,22 | 0.01%,16 | 0.01%,17 | 0.01%,8 | 0.0%,22 | 0.01%,15 | 0.01%,7 | 0.0%,19 | 0.01%,6 | 0.0%,5 | 0.0%,4 | 0.0%,4 | 0.0%,2 | 0.0%,2 | 0.0%,3 | 0.0%,3 | 0.0%,5 | 0.0%,14 | 0.01%,3 | 0.0%,0 | 0.0%,0 | 0.0%,0 | 0.0%,0 | 0.0%,0 | 0.0%,0 | 0.0%,0 | 0.0%,1 | 0.0%,1 | 0.0%,0 | 0.0%,0 | 0.0%,0 | 0.0%,0 | 0.0%,0 | 0.0%,0 | 0.0%,0 | 0.0%,0 | 0.0%,0 | 0.0%,0 | 0.0%,0 | 0.0%,0 | 0.0%,
13,11,236 | 0.14%,182 | 0.1%,128 | 0.07%,47 | 0.03%,87 | 0.05%,28 | 0.02%,22 | 0.01%,12 | 0.01%,17 | 0.01%,7 | 0.0%,9 | 0.01%,8 | 0.0%,8 | 0.0%,4 | 0.0%,4 | 0.0%,2 | 0.0%,2 | 0.0%,0 | 0.0%,1 | 0.0%,2 | 0.0%,4 | 0.0%,44 | 0.03%,5 | 0.0%,0 | 0.0%,1 | 0.0%,0 | 0.0%,0 | 0.0%,0 | 0.0%,0 | 0.0%,0 | 0.0%,0 | 0.0%,0 | 0.0%,0 | 0.0%,0 | 0.0%,0 | 0.0%,0 | 0.0%,0 | 0.0%,0 | 0.0%,0 | 0.0%,0 | 0.0%,0 | 0.0%,0 | 0.0%,0 | 0.0%,0 | 0.0%,0 | 0.0%,0 | 0.0%,
14,12,126 | 0.07%,143 | 0.08%,79 | 0.05%,50 | 0.03%,38 | 0.02%,13 | 0.01%,27 | 0.02%,9 | 0.01%,10 | 0.01%,8 | 0.0%,17 | 0.01%,17 | 0.01%,9 | 0.01%,3 | 0.0%,6 | 0.0%,3 | 0.0%,4 | 0.0%,1 | 0.0%,1 | 0.0%,0 | 0.0%,0 | 0.0%,29 | 0.02%,2 | 0.0%,1 | 0.0%,0 | 0.0%,0 | 0.0%,0 | 0.0%,0 | 0.0%,0 | 0.0%,0 | 0.0%,0 | 0.0%,0 | 0.0%,0 | 0.0%,0 | 0.0%,0 | 0.0%,0 | 0.0%,0 | 0.0%,0 | 0.0%,0 | 0.0%,0 | 0.0%,0 | 0.0%,0 | 0.0%,0 | 0.0%,0 | 0.0%,0 | 0.0%,0 | 0.0%,
15,13,102 | 0.06%,77 | 0.04%,126 | 0.07%,54 | 0.03%,24 | 0.01%,16 | 0.01%,14 | 0.01%,11 | 0.01%,27 | 0.02%,20 | 0.01%,4 | 0.0%,17 | 0.01%,5 | 0.0%,3 | 0.0%,1 | 0.0%,2 | 0.0%,1 | 0.0%,1 | 0.0%,2 | 0.0%,0 | 0.0%,0 | 0.0%,0 | 0.0%,1 | 0.0%,0 | 0.0%,0 | 0.0%,0 | 0.0%,0 | 0.0%,0 | 0.0%,0 | 0.0%,0 | 0.0%,0 | 0.0%,0 | 0.0%,0 | 0.0%,0 | 0.0%,0 | 0.0%,0 | 0.0%,0 | 0.0%,0 | 0.0%,0 | 0.0%,0 | 0.0%,0 | 0.0%,0 | 0.0%,0 | 0.0%,0 | 0.0%,0 | 0.0%,0 | 0.0%,
16,14,92 | 0.05%,89 | 0.05%,49 | 0.03%,32 | 0.02%,13 | 0.01%,18 | 0.01%,5 | 0.0%,7 | 0.0%,7 | 0.0%,5 | 0.0%,6 | 0.0%,39 | 0.02%,2 | 0.0%,3 | 0.0%,2 | 0.0%,2 | 0.0%,2 | 0.0%,1 | 0.0%,0 | 0.0%,0 | 0.0%,0 | 0.0%,0 | 0.0%,0 | 0.0%,0 | 0.0%,0 | 0.0%,0 | 0.0%,0 | 0.0%,0 | 0.0%,0 | 0.0%,0 | 0.0%,0 | 0.0%,0 | 0.0%,0 | 0.0%,0 | 0.0%,0 | 0.0%,0 | 0.0%,0 | 0.0%,0 | 0.0%,0 | 0.0%,0 | 0.0%,0 | 0.0%,0 | 0.0%,0 | 0.0%,0 | 0.0%,0 | 0.0%,0 | 0.0%,
17,15,52 | 0.03%,76 | 0.04%,31 | 0.02%,16 | 0.01%,13 | 0.01%,9 | 0.01%,11 | 0.01%,9 | 0.01%,65 | 0.04%,11 | 0.01%,4 | 0.0%,3 | 0.0%,1 | 0.0%,2 | 0.0%,1 | 0.0%,4 | 0.0%,2 | 0.0%,0 | 0.0%,0 | 0.0%,0 | 0.0%,2 | 0.0%,0 | 0.0%,0 | 0.0%,0 | 0.0%,0 | 0.0%,0 | 0.0%,0 | 0.0%,0 | 0.0%,0 | 0.0%,0 | 0.0%,0 | 0.0%,0 | 0.0%,0 | 0.0%,0 | 0.0%,0 | 0.0%,0 | 0.0%,0 | 0.0%,0 | 0.0%,0 | 0.0%,0 | 0.0%,0 | 0.0%,0 | 0.0%,0 | 0.0%,0 | 0.0%,0 | 0.0%,0 | 0.0%,
18,16,44 | 0.03%,35 | 0.02%,24 | 0.01%,36 | 0.02%,9 | 0.01%,6 | 0.0%,7 | 0.0%,5 | 0.0%,4 | 0.0%,39 | 0.02%,5 | 0.0%,5 | 0.0%,0 | 0.0%,3 | 0.0%,2 | 0.0%,0 | 0.0%,3 | 0.0%,1 | 0.0%,0 | 0.0%,1 | 0.0%,0 | 0.0%,0 | 0.0%,0 | 0.0%,0 | 0.0%,0 | 0.0%,0 | 0.0%,0 | 0.0%,0 | 0.0%,0 | 0.0%,0 | 0.0%,0 | 0.0%,0 | 0.0%,0 | 0.0%,0 | 0.0%,0 | 0.0%,0 | 0.0%,0 | 0.0%,0 | 0.0%,0 | 0.0%,0 | 0.0%,0 | 0.0%,0 | 0.0%,0 | 0.0%,0 | 0.0%,0 | 0.0%,0 | 0.0%,
19,17,38 | 0.02%,20 | 0.01%,13 | 0.01%,8 | 0.0%,2 | 0.0%,8 | 0.0%,6 | 0.0%,5 | 0.0%,4 | 0.0%,41 | 0.02%,3 | 0.0%,3 | 0.0%,0 | 0.0%,1 | 0.0%,0 | 0.0%,0 | 0.0%,0 | 0.0%,1 | 0.0%,1 | 0.0%,0 | 0.0%,0 | 0.0%,0 | 0.0%,0 | 0.0%,0 | 0.0%,0 | 0.0%,0 | 0.0%,0 | 0.0%,0 | 0.0%,0 | 0.0%,0 | 0.0%,0 | 0.0%,0 | 0.0%,0 | 0.0%,0 | 0.0%,0 | 0.0%,0 | 0.0%,0 | 0.0%,0 | 0.0%,0 | 0.0%,0 | 0.0%,0 | 0.0%,0 | 0.0%,0 | 0.0%,0 | 0.0%,0 | 0.0%,0 | 0.0%,
20,18,15 | 0.01%,14 | 0.01%,9 | 0.01%,7 | 0.0%,6 | 0.0%,5 | 0.0%,5 | 0.0%,4 | 0.0%,3 | 0.0%,4 | 0.0%,2 | 0.0%,1 | 0.0%,2 | 0.0%,1 | 0.0%,0 | 0.0%,1 | 0.0%,6 | 0.0%,8 | 0.0%,0 | 0.0%,0 | 0.0%,0 | 0.0%,0 | 0.0%,0 | 0.0%,0 | 0.0%,0 | 0.0%,0 | 0.0%,0 | 0.0%,0 | 0.0%,0 | 0.0%,0 | 0.0%,0 | 0.0%,0 | 0.0%,0 | 0.0%,0 | 0.0%,0 | 0.0%,0 | 0.0%,0 | 0.0%,0 | 0.0%,0 | 0.0%,0 | 0.0%,0 | 0.0%,0 | 0.0%,0 | 0.0%,0 | 0.0%,0 | 0.0%,0 | 0.0%,
